/Users/gsoto/Desktop/motopillos/venv/lib/python3.9/site-packages/boto3/compat.py:89: PythonDeprecationWarning: Boto3 will no longer support Python 3.9 starting April 29, 2026. To continue receiving service updates, bug fixes, and security updates please upgrade to Python 3.10 or later. More information can be found here: https://aws.amazon.com/blogs/developer/python-support-policy-updates-for-aws-sdks-and-tools/
  warnings.warn(warning, PythonDeprecationWarning)
=== INICIANDO SUBIDA MASIVA HACIA BUCKET bucket-motopillos ===
Archivos encontrados: 295139
Subiendo... 500/295139 | Exitos: 500 | Errores: 0 | 61.5 img/s
Subiendo... 1000/295139 | Exitos: 1000 | Errores: 0 | 79.6 img/s
Subiendo... 1500/295139 | Exitos: 1500 | Errores: 0 | 88.2 img/s
Subiendo... 2000/295139 | Exitos: 2000 | Errores: 0 | 85.0 img/s
Subiendo... 2500/295139 | Exitos: 2500 | Errores: 0 | 79.0 img/s
Subiendo... 3000/295139 | Exitos: 3000 | Errores: 0 | 78.8 img/s
Subiendo... 3500/295139 | Exitos: 3500 | Errores: 0 | 78.7 img/s
Subiendo... 4000/295139 | Exitos: 4000 | Errores: 0 | 78.2 img/s
Subiendo... 4500/295139 | Exitos: 4500 | Errores: 0 | 78.5 img/s
Subiendo... 5000/295139 | Exitos: 5000 | Errores: 0 | 77.2 img/s
Subiendo... 5500/295139 | Exitos: 5500 | Errores: 0 | 78.5 img/s
Subiendo... 6000/295139 | Exitos: 6000 | Errores: 0 | 79.2 img/s
Subiendo... 6500/295139 | Exitos: 6500 | Errores: 0 | 78.9 img/s
Subiendo... 7000/295139 | Exitos: 7000 | Errores: 0 | 76.8 img/s
Subiendo... 7500/295139 | Exitos: 7500 | Errores: 0 | 66.3 img/s
Subiendo... 8000/295139 | Exitos: 8000 | Errores: 0 | 57.6 img/s
Subiendo... 8500/295139 | Exitos: 8500 | Errores: 0 | 52.1 img/s
Subiendo... 9000/295139 | Exitos: 9000 | Errores: 0 | 45.9 img/s
Subiendo... 9500/295139 | Exitos: 9500 | Errores: 0 | 40.5 img/s
Subiendo... 10000/295139 | Exitos: 10000 | Errores: 0 | 39.7 img/s
Subiendo... 10500/295139 | Exitos: 10500 | Errores: 0 | 38.6 img/s
Subiendo... 11000/295139 | Exitos: 11000 | Errores: 0 | 38.0 img/s
Subiendo... 11500/295139 | Exitos: 11500 | Errores: 0 | 37.5 img/s
Subiendo... 12000/295139 | Exitos: 12000 | Errores: 0 | 37.6 img/s
Subiendo... 12500/295139 | Exitos: 12500 | Errores: 0 | 37.4 img/s
Subiendo... 13000/295139 | Exitos: 13000 | Errores: 0 | 36.8 img/s
Subiendo... 13500/295139 | Exitos: 13500 | Errores: 0 | 36.7 img/s
Subiendo... 14000/295139 | Exitos: 14000 | Errores: 0 | 36.8 img/s
Subiendo... 14500/295139 | Exitos: 14500 | Errores: 0 | 36.3 img/s
Subiendo... 15000/295139 | Exitos: 15000 | Errores: 0 | 36.0 img/s
Subiendo... 15500/295139 | Exitos: 15500 | Errores: 0 | 35.9 img/s
Subiendo... 16000/295139 | Exitos: 16000 | Errores: 0 | 35.8 img/s
Subiendo... 16500/295139 | Exitos: 16500 | Errores: 0 | 35.8 img/s
Subiendo... 17000/295139 | Exitos: 17000 | Errores: 0 | 35.7 img/s
Subiendo... 17500/295139 | Exitos: 17500 | Errores: 0 | 35.6 img/s
Subiendo... 18000/295139 | Exitos: 18000 | Errores: 0 | 35.5 img/s
Subiendo... 18500/295139 | Exitos: 18500 | Errores: 0 | 35.3 img/s
Subiendo... 19000/295139 | Exitos: 19000 | Errores: 0 | 34.7 img/s
Subiendo... 19500/295139 | Exitos: 19500 | Errores: 0 | 34.0 img/s
Subiendo... 20000/295139 | Exitos: 20000 | Errores: 0 | 34.0 img/s
Subiendo... 20500/295139 | Exitos: 20500 | Errores: 0 | 34.0 img/s
Subiendo... 21000/295139 | Exitos: 21000 | Errores: 0 | 34.5 img/s
Subiendo... 21500/295139 | Exitos: 21500 | Errores: 0 | 35.0 img/s
Subiendo... 22000/295139 | Exitos: 22000 | Errores: 0 | 35.6 img/s
Subiendo... 22500/295139 | Exitos: 22500 | Errores: 0 | 36.0 img/s
Subiendo... 23000/295139 | Exitos: 23000 | Errores: 0 | 36.4 img/s
Subiendo... 23500/295139 | Exitos: 23500 | Errores: 0 | 36.8 img/s
Subiendo... 24000/295139 | Exitos: 24000 | Errores: 0 | 37.3 img/s
Subiendo... 24500/295139 | Exitos: 24500 | Errores: 0 | 37.8 img/s
Subiendo... 25000/295139 | Exitos: 25000 | Errores: 0 | 37.5 img/s
Subiendo... 25500/295139 | Exitos: 25500 | Errores: 0 | 38.0 img/s
Subiendo... 26000/295139 | Exitos: 26000 | Errores: 0 | 37.4 img/s
Subiendo... 26500/295139 | Exitos: 26500 | Errores: 0 | 36.7 img/s
Subiendo... 27000/295139 | Exitos: 27000 | Errores: 0 | 36.8 img/s
Subiendo... 27500/295139 | Exitos: 27500 | Errores: 0 | 36.7 img/s
Subiendo... 28000/295139 | Exitos: 28000 | Errores: 0 | 36.5 img/s
Subiendo... 28500/295139 | Exitos: 28500 | Errores: 0 | 36.4 img/s
Subiendo... 29000/295139 | Exitos: 29000 | Errores: 0 | 36.3 img/s
Subiendo... 29500/295139 | Exitos: 29500 | Errores: 0 | 36.0 img/s
Subiendo... 30000/295139 | Exitos: 30000 | Errores: 0 | 35.8 img/s
Subiendo... 30500/295139 | Exitos: 30500 | Errores: 0 | 35.6 img/s
Subiendo... 31000/295139 | Exitos: 31000 | Errores: 0 | 35.6 img/s
Subiendo... 31500/295139 | Exitos: 31500 | Errores: 0 | 35.5 img/s
Subiendo... 32000/295139 | Exitos: 32000 | Errores: 0 | 35.4 img/s
Subiendo... 32500/295139 | Exitos: 32500 | Errores: 0 | 35.4 img/s
Subiendo... 33000/295139 | Exitos: 33000 | Errores: 0 | 35.0 img/s
Subiendo... 33500/295139 | Exitos: 33500 | Errores: 0 | 34.8 img/s
Subiendo... 34000/295139 | Exitos: 34000 | Errores: 0 | 34.5 img/s
Subiendo... 34500/295139 | Exitos: 34500 | Errores: 0 | 34.3 img/s
Subiendo... 35000/295139 | Exitos: 35000 | Errores: 0 | 33.9 img/s
Subiendo... 35500/295139 | Exitos: 35500 | Errores: 0 | 33.6 img/s
Subiendo... 36000/295139 | Exitos: 36000 | Errores: 0 | 33.6 img/s
Subiendo... 36500/295139 | Exitos: 36500 | Errores: 0 | 33.6 img/s
Subiendo... 37000/295139 | Exitos: 37000 | Errores: 0 | 33.7 img/s
Subiendo... 37500/295139 | Exitos: 37500 | Errores: 0 | 33.6 img/s
Subiendo... 38000/295139 | Exitos: 38000 | Errores: 0 | 33.9 img/s
Subiendo... 38500/295139 | Exitos: 38500 | Errores: 0 | 34.2 img/s
Subiendo... 39000/295139 | Exitos: 39000 | Errores: 0 | 34.4 img/s
Subiendo... 39500/295139 | Exitos: 39500 | Errores: 0 | 34.6 img/s
Subiendo... 40000/295139 | Exitos: 40000 | Errores: 0 | 34.8 img/s
Subiendo... 40500/295139 | Exitos: 40500 | Errores: 0 | 35.0 img/s
Subiendo... 41000/295139 | Exitos: 41000 | Errores: 0 | 35.2 img/s
Subiendo... 41500/295139 | Exitos: 41500 | Errores: 0 | 35.4 img/s
Subiendo... 42000/295139 | Exitos: 42000 | Errores: 0 | 35.7 img/s
Subiendo... 42500/295139 | Exitos: 42500 | Errores: 0 | 35.9 img/s
Subiendo... 43000/295139 | Exitos: 43000 | Errores: 0 | 36.0 img/s
Subiendo... 43500/295139 | Exitos: 43500 | Errores: 0 | 35.9 img/s
Subiendo... 44000/295139 | Exitos: 44000 | Errores: 0 | 35.1 img/s
Subiendo... 44500/295139 | Exitos: 44500 | Errores: 0 | 34.9 img/s
Subiendo... 45000/295139 | Exitos: 45000 | Errores: 0 | 34.6 img/s
Subiendo... 45500/295139 | Exitos: 45500 | Errores: 0 | 34.5 img/s
Subiendo... 46000/295139 | Exitos: 46000 | Errores: 0 | 34.4 img/s
Subiendo... 46500/295139 | Exitos: 46500 | Errores: 0 | 33.9 img/s
Subiendo... 47000/295139 | Exitos: 47000 | Errores: 0 | 33.8 img/s
Subiendo... 47500/295139 | Exitos: 47500 | Errores: 0 | 33.6 img/s
Subiendo... 48000/295139 | Exitos: 48000 | Errores: 0 | 33.6 img/s
Subiendo... 48500/295139 | Exitos: 48500 | Errores: 0 | 33.7 img/s
Subiendo... 49000/295139 | Exitos: 49000 | Errores: 0 | 33.7 img/s
Subiendo... 49500/295139 | Exitos: 49500 | Errores: 0 | 33.5 img/s
Subiendo... 50000/295139 | Exitos: 50000 | Errores: 0 | 33.5 img/s
Subiendo... 50500/295139 | Exitos: 50500 | Errores: 0 | 33.6 img/s
Subiendo... 51000/295139 | Exitos: 51000 | Errores: 0 | 33.6 img/s
Subiendo... 51500/295139 | Exitos: 51500 | Errores: 0 | 33.5 img/s
Subiendo... 52000/295139 | Exitos: 52000 | Errores: 0 | 33.7 img/s
Subiendo... 52500/295139 | Exitos: 52500 | Errores: 0 | 33.7 img/s
Subiendo... 53000/295139 | Exitos: 53000 | Errores: 0 | 33.8 img/s
Subiendo... 53500/295139 | Exitos: 53500 | Errores: 0 | 33.7 img/s
Subiendo... 54000/295139 | Exitos: 54000 | Errores: 0 | 33.7 img/s
Subiendo... 54500/295139 | Exitos: 54500 | Errores: 0 | 33.9 img/s
Subiendo... 55000/295139 | Exitos: 55000 | Errores: 0 | 34.1 img/s
Subiendo... 55500/295139 | Exitos: 55500 | Errores: 0 | 34.3 img/s
Subiendo... 56000/295139 | Exitos: 56000 | Errores: 0 | 34.5 img/s
Subiendo... 56500/295139 | Exitos: 56500 | Errores: 0 | 34.7 img/s
Subiendo... 57000/295139 | Exitos: 57000 | Errores: 0 | 34.9 img/s
Subiendo... 57500/295139 | Exitos: 57500 | Errores: 0 | 35.1 img/s
Subiendo... 58000/295139 | Exitos: 58000 | Errores: 0 | 35.1 img/s
Subiendo... 58500/295139 | Exitos: 58500 | Errores: 0 | 35.1 img/s
Subiendo... 59000/295139 | Exitos: 59000 | Errores: 0 | 35.0 img/s
Subiendo... 59500/295139 | Exitos: 59500 | Errores: 0 | 35.0 img/s
Subiendo... 60000/295139 | Exitos: 60000 | Errores: 0 | 34.9 img/s
Subiendo... 60500/295139 | Exitos: 60500 | Errores: 0 | 34.8 img/s
Subiendo... 61000/295139 | Exitos: 61000 | Errores: 0 | 34.8 img/s
Subiendo... 61500/295139 | Exitos: 61500 | Errores: 0 | 34.8 img/s
Subiendo... 62000/295139 | Exitos: 62000 | Errores: 0 | 34.9 img/s
Subiendo... 62500/295139 | Exitos: 62500 | Errores: 0 | 34.9 img/s
Subiendo... 63000/295139 | Exitos: 63000 | Errores: 0 | 34.9 img/s
Subiendo... 63500/295139 | Exitos: 63500 | Errores: 0 | 34.9 img/s
Subiendo... 64000/295139 | Exitos: 64000 | Errores: 0 | 34.8 img/s
Subiendo... 64500/295139 | Exitos: 64500 | Errores: 0 | 34.9 img/s
Subiendo... 65000/295139 | Exitos: 65000 | Errores: 0 | 34.9 img/s
Subiendo... 65500/295139 | Exitos: 65500 | Errores: 0 | 34.9 img/s
Subiendo... 66000/295139 | Exitos: 66000 | Errores: 0 | 34.9 img/s
Subiendo... 66500/295139 | Exitos: 66500 | Errores: 0 | 34.8 img/s
Subiendo... 67000/295139 | Exitos: 67000 | Errores: 0 | 34.8 img/s
Subiendo... 67500/295139 | Exitos: 67500 | Errores: 0 | 34.8 img/s
Subiendo... 68000/295139 | Exitos: 68000 | Errores: 0 | 34.7 img/s
Subiendo... 68500/295139 | Exitos: 68500 | Errores: 0 | 34.7 img/s
Subiendo... 69000/295139 | Exitos: 69000 | Errores: 0 | 34.7 img/s
Subiendo... 69500/295139 | Exitos: 69500 | Errores: 0 | 34.6 img/s
Subiendo... 70000/295139 | Exitos: 70000 | Errores: 0 | 34.6 img/s
Subiendo... 70500/295139 | Exitos: 70500 | Errores: 0 | 34.6 img/s
Subiendo... 71000/295139 | Exitos: 71000 | Errores: 0 | 34.5 img/s
Subiendo... 71500/295139 | Exitos: 71500 | Errores: 0 | 34.5 img/s
Subiendo... 72000/295139 | Exitos: 72000 | Errores: 0 | 34.7 img/s
Subiendo... 72500/295139 | Exitos: 72500 | Errores: 0 | 34.9 img/s
Subiendo... 73000/295139 | Exitos: 73000 | Errores: 0 | 35.0 img/s
Subiendo... 73500/295139 | Exitos: 73500 | Errores: 0 | 35.1 img/s
Subiendo... 74000/295139 | Exitos: 74000 | Errores: 0 | 35.3 img/s
Subiendo... 74500/295139 | Exitos: 74500 | Errores: 0 | 35.4 img/s
Subiendo... 75000/295139 | Exitos: 75000 | Errores: 0 | 35.3 img/s
Subiendo... 75500/295139 | Exitos: 75500 | Errores: 0 | 35.3 img/s
Subiendo... 76000/295139 | Exitos: 76000 | Errores: 0 | 35.3 img/s
Subiendo... 76500/295139 | Exitos: 76500 | Errores: 0 | 35.3 img/s
Subiendo... 77000/295139 | Exitos: 77000 | Errores: 0 | 35.3 img/s
Subiendo... 77500/295139 | Exitos: 77500 | Errores: 0 | 35.4 img/s
